estado,uf
Acre,AC
Alagoas,AL
Amazonas,AM
Amap%C3%A1,AP
Bahia,BA
Cear%C3%A1,CE
Distrito%20Federal,DF
Esp%C3%ADrito%20Santo,ES
Goi%C3%A1s,GO
Maranh%C3%A3o,MA
Minas%20Gerais,MG
Mato%20Grosso%20do%20Sul,MS
Mato%20Grosso,MT
Par%C3%A1,PA
Para%C3%ADba,PR
Pernambuco,PE
Piau%C3%AD,PI
Paran%C3%A1,PR
Rio%20de%20Janeiro,RJ
Rio%20Grande%20do%20Norte,RN
Rond%C3%B4nia,RO
Roraima,RR
Rio%20Grande%20do%20Sul,RS
Santa%20Catarina,SC
Sergipe,SE
S%C3%A3o%20Paulo,SP
Tocantins,TO
